cantidad_leche_litros;temperatura_fermentacion;tiempo_fermentacion_horas;cantidad_cultivos_miligramos;tiempo_colado_horas;contenido_grasa_porcentaje;nivel_acidez_pH;cantidad_proteina_gramos;textura_puntuacion;sabor_puntuacion;nivel_calidad
81,97;35,62;3,56;37,3;2,04;5,34;4,41;6,98;2,29;9,04;4,75
69,05;43,68;5,65;52,33;3,08;8,45;4,42;6,3;4,51;2,62;3,83
67,68;37,14;9,2;51,07;3,2;9,54;4,16;5,92;9,14;5,49;5,27
54,24;43,61;10,27;59,77;2,14;3,55;4,22;5,46;4,41;5,65;4,16
61,25;39,79;6,44;52,23;1,63;7,48;4,5;4,33;4,4;8,2;4,5
50,5;42,88;6,98;38,11;4,64;4,49;4,28;4,94;5,46;8,66;4,9
69,69;40,06;5,05;66,03;4,36;6,61;4,02;4,75;8,12;2,0;4,05
92,36;39,97;5,87;34,26;2,94;8,45;4,07;5,0;8,35;3,6;4,51
60,33;39,73;9,69;51,14;2,88;8,23;4,45;7,02;9,83;6,53;5,81
99,48;36,21;7,37;42,7;2,56;3,76;4,27;5,67;1,5;7,06;3,92
93,53;35,23;5,37;49,44;3,2;6,06;4,33;6,98;7,3;1,37;4,25
38,3;37,35;6,04;46,38;2,77;6,64;4,04;5,08;4,09;1,17;3,15
51,3;36,42;5,57;45,37;1,91;7,53;4,39;4,89;5,17;1,99;3,54
95,02;40,52;7,4;41,29;2,55;9,05;4,03;4,63;9,23;6,32;5,16
60,81;37,78;7,86;44,51;3,33;8,15;4,1;6,69;5,13;6,01;4,69
24,79;38,65;8,15;46,27;1,63;8,94;4,31;4,97;9,32;4,91;5,02
53,36;43,12;9,57;48,5;4,79;3,69;4,04;5,43;8,19;3,29;4,4
62,56;43,35;5,97;49,03;0,26;5,96;4,45;5,52;5,9;1,9;3,75
48,4;39,63;7,73;60,38;3,66;5,41;4,15;3,18;9,96;3,0;4,31
96,19;40,26;12,93;42,61;4,0;6,01;4,42;5,99;4,97;2,15;3,72
67,99;40,31;10,47;50,8;3,64;6,09;4,09;5,88;5,55;4,96;4,36
99,76;42,25;8,95;64,36;2,35;3,62;4,18;7,07;2,94;9,41;4,93
21,98;36,33;8,6;57,87;4,51;5,86;4,11;5,78;9,11;7,72;5,6
62,37;36,56;3,06;49,02;2,97;7,15;4,25;6,16;9,04;9,4;6,05
44,8;41,51;10,74;50,55;1,87;8,33;4,13;5,7;9,21;5,5;5,21
28,85;42,02;10,25;43,45;4,26;7,64;4,4;6,05;8,37;5,42;5,1
27,52;43,32;9,21;51,09;3,8;7,22;4,36;6,03;4,45;2,26;3,68
42,62;37,18;7,86;23,36;2,82;3,35;4,24;5,91;3,39;2,77;3,47
37,21;37,37;8,64;63,6;3,57;6,45;4,08;5,8;2,02;7,79;4,21
80,13;43,72;8,99;37,67;2,49;5,24;4,04;7,18;1,8;3,53;3,55
29,92;38,47;6,13;46,33;4,9;9,1;4,32;8,16;8,15;8,15;6,07
98,76;36,41;5,26;63,85;0,92;9,39;4,04;5,31;2,76;6,93;4,14
94,31;39,53;5,47;55,89;4,36;3,2;4,26;7,86;2,48;7,23;4,57
53,47;35,54;10,67;34,08;2,15;6,18;4,3;6,99;3,26;3,84;3,94
44,13;36,17;8,71;48,97;3,22;4,8;4,31;7,87;6,31;7,56;5,44
39,01;35,73;3,19;23,01;3,69;6,96;4,39;5,49;3,23;6,78;4,22
95,99;35,31;6,35;45,02;3,62;4,91;4,24;6,28;9,89;5,2;5,36
73,13;35,09;3,4;53,45;1,83;5,09;4,19;5,19;5,42;1,08;3,42
60,92;42,89;10,16;27,15;1,96;9,31;4,21;5,88;3,23;7,85;4,56
82,67;44,89;5,91;61,37;0,93;5,42;4,05;6,14;9,55;5,25;5,25
23,9;43,11;7,43;43,08;2,01;7,32;4,17;5,69;9,29;2,31;4,58
75,68;44,97;5,78;31,34;3,35;7,23;4,04;5,08;4,51;7,52;4,51
59,79;42,56;10,26;29,07;3,11;4,55;4,36;5,48;2,49;6,82;4,04
44,19;40,41;6,69;56,1;5,11;7,74;4,2;3,91;3,87;7,61;4,21
98,31;42,8;6,68;56,18;2,69;5,76;4,21;5,42;9,31;4,31;4,91
24,98;43,7;10,0;50,51;2,99;8,56;4,16;5,91;9,36;3,52;4,9
40,62;44,71;3,58;49,95;4,58;5,41;4,09;5,22;1,71;4,6;3,37
41,98;40,19;7,34;47,47;2,76;9,37;4,12;4,8;4,59;3,91;3,81
30,92;42,96;6,34;49,42;3,57;5,69;4,48;7,01;8,5;6,16;5,41
56,44;44,53;8,12;56,92;2,56;8,96;4,09;4,72;1,09;9,0;4,1
69,51;43,86;3,19;58,91;2,46;4,55;4,28;7,31;6,23;7,13;5,22
30,8;40,49;7,44;73,73;3,39;6,37;4,32;4,52;2,3;2,04;2,9
67,49;39,17;11,02;51,58;3,57;3,19;4,41;5,17;2,71;8,54;4,33
96,81;37,14;7,38;52,67;3,19;6,25;4,06;5,28;3,3;5,51;3,9
55,21;39,07;10,14;41,32;2,15;3,91;4,2;5,66;2,15;2,62;3,14
62,76;41,42;8,7;70,05;3,37;4,61;4,28;4,15;9,44;7,94;5,39
51,43;35,11;7,44;43,54;2,63;9,29;4,12;5,71;2,61;4,27;3,67
47,31;42,19;8,12;53,32;3,91;5,13;4,34;7,31;9,71;1,04;4,71
81,96;42,82;10,07;46,14;2,77;9,8;4,42;4,61;8,9;2,15;4,3
75,83;44,41;9,46;64,95;3,06;3,1;4,33;4,95;7,51;1,97;3,94
63,94;38,58;11,37;58,07;3,12;7,13;4,45;5,51;5,29;6,38;4,55
75,37;37,01;5,87;46,7;1,33;9,79;4,34;5,54;4,4;9,7;5,12
80,75;35,49;8,47;36,73;4,3;3,46;4,29;5,64;4,02;8,84;4,77
56,81;39,61;6,4;54,15;3,83;7,38;4,14;5,6;7,02;8,31;5,3
31,49;41,3;6,46;52,48;1,98;5,52;4,21;5,86;6,78;5,17;4,65
65,9;38,59;7,65;48,04;3,44;5,15;4,15;3,76;3,49;1,94;2,91
55,5;41,4;8,17;35,15;2,97;3,87;4,2;6,57;1,03;3,53;3,28
76,82;35,76;5,21;35,86;2,73;7,97;4,38;6,55;8,81;8,56;5,93
21,69;36,93;8,72;44,47;4,01;4,52;4,3;4,93;2,8;8,32;4,3
74,58;44,32;11,09;57,75;3,32;8,69;4,14;7,17;9,83;3,98;5,34
71,09;43,16;12,34;65,25;5,21;6,95;4,12;5,9;5,42;4,96;4,36
45,07;42,84;8,66;55,54;2,11;5,53;4,5;5,75;8,19;1,63;4,18
45,63;40,79;6,95;62,05;1,04;8,47;4,16;4,01;4,61;2,89;3,44
76,21;44,26;9,17;63,27;3,95;4,14;4,05;5,75;1,39;4,66;3,39
26,92;36,55;8,55;48,25;3,18;9,46;4,45;4,41;5,47;6,05;4,35
48,57;40,42;10,77;32,24;2,81;3,98;4,4;4,29;2,78;4,37;3,35
23,67;42,5;8,7;56,45;4,91;6,04;4,35;6,98;6,02;2,45;4,2
58,45;44,56;7,52;47,16;3,95;7,9;4,01;5,89;6,89;2,71;4,2
57,07;36,4;8,79;72,88;3,26;9,56;4,48;4,67;3,17;2,23;3,17
33,08;43,19;7,01;41,09;3,31;4,63;4,44;6,82;1,98;5,24;3,87
30,6;42,29;6,68;40,47;2,68;7,69;4,25;6,21;2,0;7,0;4,19
71,42;41,45;4,27;63,77;1,59;5,14;4,5;5,48;8,69;6,33;5,16
78,68;39,24;7,32;53,7;1,49;6,42;4,41;7,56;6,72;3,07;4,58
73,52;39,65;10,7;38,75;3,81;5,29;4,38;5,99;1,63;4,91;3,6
80,46;37,94;8,68;34,23;2,43;5,79;4,29;5,41;8,46;6,74;5,24
77,74;42,05;8,82;61,92;1,09;3,48;4,41;5,35;1,05;1,79;2,69
39,89;42,16;6,03;61,03;4,62;4,77;4,12;4,66;3,67;1,21;2,97
20,85;37,98;10,47;42,83;2,58;6,57;4,24;4,3;5,27;6,36;4,31
53,6;42,0;4,96;70,21;2,73;5,46;4,37;6,59;6,17;2,43;4,13
94,36;44,44;5,04;47,08;3,34;9,15;4,28;5,76;8,79;5,16;5,12
70,62;38,32;4,89;36,6;4,1;6,49;4,35;6,49;1,63;7,22;4,19
31,4;39,0;7,91;58,26;2,85;8,71;4,47;5,59;1,94;1,03;2,85
84,83;37,48;9,27;39,23;2,75;8,05;4,49;5,84;7,54;7,35;5,27
65,51;39,42;7,84;49,86;2,65;9,07;4,35;5,85;7,86;9,23;5,76
89,77;43,9;7,76;33,91;3,22;9,23;4,02;5,87;3,7;9,18;4,88
20,36;44,64;8,79;50,15;3,39;7,76;4,09;5,33;7,65;8,58;5,43
25,52;40,11;10,8;33,53;3,12;5,82;4,03;7,0;9,57;7,7;5,92
40,31;42,43;7,6;62,39;1,13;7,56;4,04;6,97;4,44;4,63;4,31
48,83;36,2;7,04;67,3;2,97;8,73;4,16;5,34;7,7;2,85;4,32
42,97;36,49;7,77;54,78;4,08;7,84;4,38;5,94;2,74;1,79;3,23
92,04;40,76;9,78;59,71;2,54;9,03;4,18;6,51;6,99;6,24;5,1
74,62;43,28;6,38;51,99;4,16;3,32;4,15;5,89;4,39;2,27;3,55
52,08;39,04;6,45;38,61;4,52;7,49;4,22;5,2;2,6;3,94;3,48
68,68;35,14;6,86;58,62;2,39;7,1;4,01;7,57;4,04;1,19;3,64
44,63;39,76;7,22;52,21;4,18;4,13;4,4;5,13;8,77;4,58;4,76
56,05;39,52;9,49;42,17;2,26;4,51;4,4;5,89;3,45;1,85;3,31
76,98;36,41;9,67;63,65;4,01;3,33;4,0;4,35;3,3;5,38;3,61
77,45;44,6;7,06;47,95;3,2;5,75;4,32;4,51;8,62;5,94;4,93
95,48;35,35;8,68;63,61;1,99;3,09;4,48;4,79;3,07;8,33;4,26
44,12;37,22;7,28;43,63;3,32;4,54;4,16;5,23;9,03;4,44;4,8
54,3;40,02;5,08;61,48;3,02;7,04;4,22;5,04;7,67;3,55;4,38
87,37;41,54;8,24;36,17;3,49;9,31;4,08;5,4;1,98;3,91;3,4
28,95;43,95;8,09;66,45;3,12;3,78;4,13;8,62;9,01;1,27;4,82
42,26;35,52;5,92;50,76;3,84;8,18;4,18;5,87;2,08;9,22;4,57
58,66;39,12;9,21;71,81;2,65;6,15;4,45;5,86;4,43;1,8;3,51
27,69;36,1;10,87;38,83;1,31;6,65;4,33;5,87;9,61;6,53;5,53
60,79;37,54;6,46;50,28;3,85;6,99;4,15;5,97;1,22;1,25;2,8
40,45;42,08;8,88;60,05;3,68;6,51;4,19;7,11;4,63;6,25;4,71
51,45;37,85;8,39;48,45;2,09;8,06;4,15;4,99;8,79;4,28;4,74
47,39;44,65;8,06;43,51;4,0;4,11;4,12;6,54;4,93;8,59;5,06
36,73;39,45;10,27;72,01;3,35;7,33;4,23;6,19;8,39;4,75;5,0
92,16;42,61;6,44;46,51;4,87;6,39;4,47;4,89;9,28;3,84;4,7
69,43;42,56;10,8;49,61;2,89;5,62;4,27;6,18;2,44;5,02;3,83
75,09;42,03;7,93;45,48;3,81;7,06;4,49;6,3;6,79;1,16;3,95
44,97;43,81;5,28;42,43;2,78;4,63;4,41;5,32;2,11;5,79;3,71
77,53;39,57;6,53;48,4;3,42;6,32;4,26;6,47;7,33;6,0;5,08
83,1;37,51;4,96;40,8;1,76;6,36;4,13;6,3;3,02;2,47;3,45
45,67;35,96;8,69;47,6;0,75;4,53;4,4;5,41;1,3;9,72;4,36
21,13;44,86;5,37;61,3;1,81;3,93;4,2;5,87;5,47;7,64;4,85
66,39;40,32;7,58;34,16;3,27;3,47;4,39;5,98;4,0;9,71;4,99
22,37;35,06;7,22;39,05;2,17;3,17;4,19;6,21;1,15;9,9;4,49
55,34;40,14;10,93;42,03;1,98;8,18;4,23;5,76;2,12;2,97;3,32
56,15;41,62;7,68;38,22;2,77;4,86;4,42;6,87;7,71;2,84;4,56
85,49;36,86;7,81;59,39;4,28;3,85;4,34;5,88;5,63;1,91;3,75
70,76;37,87;4,84;61,72;1,97;5,49;4,34;4,09;7,5;6,38;4,7
50,43;39,38;2,78;66,14;0,88;7,12;4,35;4,67;6,47;3,36;4,03
85,52;44,55;5,84;43,42;2,45;8,26;4,03;6,06;2,8;9,47;4,78
29,63;41,88;9,11;56,18;2,82;6,07;4,45;6,61;9,36;3,81;5,05
46,53;44,84;6,69;35,38;3,29;7,27;4,17;5,47;6,89;1,67;3,93
71,32;36,44;12,93;42,9;4,28;5,71;4,46;6,09;2,78;3,78;3,61
63,16;44,11;11,53;59,13;0,48;8,88;4,46;5,47;1,93;9,57;4,54
52,72;44,44;11,8;53,42;3,27;5,97;4,37;5,61;6,7;7,68;5,1
53,75;39,8;3,0;68,77;1,9;9,19;4,32;7,44;6,87;6,84;5,41
33,14;39,11;9,81;36,05;2,36;6,88;4,01;3,55;1,95;8,31;3,84
57,2;35,31;7,69;55,65;3,45;3,96;4,18;5,93;5,25;5,75;4,44
24,91;44,18;10,09;40,6;3,28;5,23;4,07;5,6;5,56;7,44;4,78
26,14;42,54;4,95;52,36;4,9;5,74;4,12;4,48;4,45;9,5;4,76
43,62;38,54;10,02;43,38;3,47;4,3;4,04;6,91;1,58;9,16;4,56
37,16;39,71;9,21;31,87;2,93;6,02;4,41;7,17;9,33;1,8;4,76
23,2;42,1;4,78;51,44;2,3;7,93;4,41;5,86;1,8;1,1;2,89
64,79;44,54;9,14;56,68;3,94;3,38;4,19;7,96;1,18;8,81;4,64
56,87;35,05;9,45;33,84;1,13;5,54;4,32;8,0;7,7;8,24;5,89
98,95;37,0;7,18;48,28;4,58;6,55;4,2;7,67;5,51;7,19;5,18
83,23;44,14;7,02;57,82;4,68;7,28;4,22;5,92;9,89;5,12;5,32
20,23;39,27;10,0;47,43;2,35;6,14;4,29;7,04;6,94;3,07;4,53
96,11;36,26;8,51;45,83;3,35;9,59;4,15;8,84;2,87;4,78;4,46
48,45;43,27;6,03;50,12;3,84;7,07;4,27;7,31;8,45;5,69;5,43
99,17;36,18;7,7;47,51;2,68;9,05;4,27;6,29;5,7;5,94;4,76
27,47;36,44;9,13;56,21;3,13;9,29;4,01;6,54;7,35;9,32;5,77
24,11;36,59;5,13;65,31;4,18;4,1;4,44;7,42;8,96;8,11;5,95
76,66;40,42;6,73;33,33;3,69;9,74;4,32;5,57;2,86;2,09;3,29
90,31;43,37;7,31;37,36;2,36;3,96;4,02;5,7;6,42;9,88;5,42
84,08;36,85;10,73;49,61;0,84;5,87;4,37;5,25;1,23;7,21;3,84
97,75;40,36;10,97;46,65;2,34;9,57;4,23;5,15;9,58;9,38;6,0
23,29;38,25;9,42;41,59;2,05;3,37;4,41;6,62;6,32;6,52;4,94
34,29;38,06;9,11;30,89;5,09;3,04;4,08;5,66;8,39;3,4;4,51
68,57;42,0;8,45;43,76;4,19;8,4;4,14;4,88;5,32;6,16;4,41
66,83;38,9;7,24;73,37;2,84;4,19;4,29;5,45;3,05;7,91;4,36
46,19;36,82;8,54;54,84;2,33;3,58;4,21;7,09;1,89;5,25;3,9
87,47;37,41;6,49;61,82;1,99;8,69;4,05;6,1;9,67;3,45;4,97
44,62;38,22;8,2;67,4;3,18;9,95;4,05;7,23;5,29;5,58;4,77
24,19;42,54;9,64;37,4;3,99;5,64;4,12;6,37;8,64;8,04;5,69
33,59;39,03;7,34;49,89;1,43;8,82;4,49;7,88;5,59;2,96;4,42
62,51;40,65;5,02;64,67;2,44;5,19;4,28;7,03;2,7;9,1;4,87
47,02;39,99;6,45;44,58;3,86;9,57;4,09;4,76;3,28;9,97;4,75
78,92;42,88;6,68;53,24;2,51;3,86;4,26;4,53;2,5;2,71;3,02
83,26;40,02;10,59;44,67;2,59;8,99;4,06;5,73;9,0;8,54;5,79
78,02;41,03;6,14;43,89;1,49;5,65;4,37;5,01;9,35;1,17;4,2
41,67;41,58;8,19;41,02;2,71;9,44;4,46;6,7;4,99;9,5;5,39
72,71;40,37;7,35;58,79;2,79;7,7;4,09;6,8;8,1;9,63;6,02
23,26;35,93;8,59;49,68;4,0;9,16;4,0;5,04;7,29;3,39;4,27
93,98;44,64;7,94;57,05;2,97;9,86;4,39;6,61;7,4;8,99;5,78
42,18;35,53;4,71;48,6;5,23;7,9;4,08;4,8;3,79;8,67;4,57
36,67;40,34;8,6;50,68;2,14;9,06;4,33;5,92;4,64;7,58;4,8
62,99;41,42;8,01;45,41;3,03;4,41;4,12;7,16;5,94;6,68;5,01
20,68;35,54;7,66;48,15;3,22;8,53;4,36;5,87;1,87;5,49;3,8
91,51;42,15;8,73;48,5;3,4;7,34;4,04;5,96;5,71;1,37;3,7
81,92;42,84;12,0;61,1;1,53;9,78;4,14;5,67;4,08;8,75;4,86
82,4;35,02;9,61;63,1;5,13;6,37;4,17;5,57;8,7;6,9;5,34
55,27;40,35;5,73;46,43;3,6;8,89;4,01;6,74;3,73;4,3;4,07
38,99;44,56;6,84;30,77;2,21;5,95;4,21;6,41;6,79;1,0;3,94
71,96;41,23;5,26;56,99;1,45;3,53;4,24;4,04;9,19;1,34;3,97
39,06;40,85;6,72;64,64;3,33;3,53;4,31;6,26;2,88;5,29;3,95
59,15;41,66;6,01;55,15;3,83;3,28;4,06;4,63;3,96;9,69;4,67
22,38;39,41;7,01;60,74;3,31;4,26;4,37;4,87;1,84;8,11;4,04
43,68;41,78;4,83;47,91;2,12;6,61;4,1;4,9;7,1;2,66;4,02
88,74;40,78;11,69;61,48;2,34;3,77;4,36;6,38;6,77;3,46;4,39
28,5;38,06;5,81;49,83;3,63;7,83;4,26;5,03;5,29;4,28;4,07
73,36;43,36;4,9;34,42;4,12;4,38;4,46;5,03;2,95;9,63;4,58
62,97;37,03;9,48;56,0;3,29;6,48;4,11;7,02;2,34;2,05;3,37
72,38;35,33;8,96;37,02;4,79;5,52;4,32;4,54;2,78;9,96;4,56
34,94;37,17;6,73;42,89;3,86;9,52;4,3;5,21;3,53;4,02;3,74
56,55;40,59;8,48;38,3;2,39;3,99;4,12;5,58;2,49;7,19;4,1
25,98;39,21;11,12;37,65;3,73;7,95;4,45;4,46;2,06;5,47;3,53
83,59;41,04;7,79;66,12;2,92;9,46;4,03;5,3;5,7;4,26;4,19
85,51;35,07;8,28;45,73;3,08;6,4;4,08;7,6;6,51;4,77;4,86
91,64;38,87;6,53;39,27;4,11;6,93;4,22;5,12;1,54;2,8;3,01
83,71;38,99;6,33;37,28;4,44;5,27;4,03;4,51;1,85;9,5;4,22
27,33;38,32;10,76;68,85;3,9;3,85;4,38;5,79;6,47;4,31;4,38
69,62;41,7;8,63;43,2;3,44;7,41;4,4;5,91;9,72;1,12;4,48
70,95;43,31;7,7;49,8;5,1;6,81;4,39;4,99;6,33;7,06;4,79
54,04;41,48;8,34;54,07;2,96;5,46;4,42;6,39;1,84;8,15;4,36
43,6;40,9;5,36;42,04;3,47;8,63;4,45;6,78;6,76;2,76;4,4
90,01;44,04;7,43;40,17;3,6;9,75;4,27;3,83;9,92;8,79;5,7
54,35;35,39;6,17;63,27;3,16;4,39;4,29;6,04;1,6;7,41;4,1
44,98;38,75;8,44;60,47;1,63;3,85;4,3;6,67;2,9;1,99;3,39
81,58;42,06;10,18;44,72;2,65;8,58;4,22;5,38;8,21;7,12;5,3
26,95;39,89;9,76;49,55;1,99;5,92;4,25;5,73;1,81;6,37;3,89
71,43;44,53;9,07;43,27;2,61;3,06;4,01;8,15;1,76;8,25;4,64
21,65;44,4;6,42;61,37;3,54;3,03;4,2;4,79;5,98;1,89;3,57
77,81;43,09;7,15;36,0;5,18;3,3;4,17;5,48;1,83;5,45;3,59
44,26;36,78;6,23;57,52;3,0;8,48;4,48;5,89;9,4;9,41;6,07
57,97;35,41;6,36;45,64;3,23;9,64;4,05;6,0;7,26;2,06;4,21
94,12;38,9;4,6;21,48;2,52;6,53;4,22;6,95;9,63;4,7;5,37
54,47;43,72;7,82;43,24;5,2;8,36;4,37;4,81;3,78;8,12;4,5
49,77;37,13;9,27;39,96;3,8;7,21;4,33;5,78;2,69;6,19;4,07
85,03;42,35;12,35;47,04;4,29;5,28;4,03;7,37;7,47;2,25;4,47
54,93;43,15;10,9;59,45;3,57;9,64;4,47;6,94;3,52;6,33;4,52
41,65;44,41;7,01;49,39;2,38;3,89;4,43;4,97;5,14;5,53;4,18
90,8;42,48;8,93;76,78;2,87;3,47;4,16;6,19;2,01;2,66;3,21
51,44;44,06;7,18;45,41;2,46;5,94;4,04;6,84;3,31;2,38;3,57
67,19;41,63;10,5;46,67;3,32;8,95;4,25;7,93;2,08;3,66;3,9
83,36;38,73;7,63;57,61;2,84;7,3;4,25;4,92;2,43;5,14;3,63
76,77;44,64;9,31;42,22;3,97;5,8;4,36;6,18;7,71;1,66;4,21
72,95;42,81;9,01;50,59;3,49;7,6;4,03;5,36;1,67;7,99;4,1
35,04;36,55;6,81;43,94;3,38;4,8;4,01;5,89;7,27;4,28;4,53
75,38;38,17;6,21;36,4;2,93;8,14;4,35;7,09;8,31;5,87;5,41
71,32;35,6;7,22;42,46;0,6;8,85;4,27;7,12;8,36;4,31;5,13
47,61;35,97;7,59;56,52;3,28;8,19;4,19;4,46;1,72;2,72;2,92
60,35;42,41;2,99;39,44;2,56;9,78;4,31;5,98;3,73;8,46;4,83
58,03;44,37;7,16;63,24;1,76;9,34;4,44;5,95;1,93;1,47;3,03
77,3;40,68;10,03;63,29;4,94;5,16;4,26;6,49;3,42;4,64;4,01
77,73;38,87;8,75;36,57;2,42;3,82;4,32;6,6;6,08;4,14;4,44
37,78;37,43;9,1;53,33;2,67;3,65;4,05;5,3;5,83;7,61;4,77
34,26;44,7;9,25;35,43;2,73;9,36;4,13;6,33;3,08;9,77;4,99
56,29;40,38;7,18;46,7;3,93;3,94;4,01;5,91;6,26;4,22;4,3
61,39;42,07;6,62;34,39;3,89;4,3;4,13;6,12;2,25;4,96;3,72
91,45;39,8;6,43;60,34;3,9;8,07;4,35;6,72;8,13;6,4;5,4
81,57;36,16;11,33;52,52;2,7;7,94;4,42;7,67;3,64;4,07;4,21
89,93;36,23;5,67;50,16;1,68;5,53;4,45;6,7;1,3;5,38;3,76
83,95;41,73;10,23;42,13;2,57;8,67;4,37;5,63;9,98;9,48;6,18
50,1;39,92;8,14;65,33;1,6;8,21;4,37;6,47;8,13;7,38;5,55
26,49;44,52;8,59;64,39;1,59;8,31;4,35;5,86;9,78;1,71;4,63
88,65;39,63;4,6;37,63;2,31;8,5;4,15;8,5;1,41;1,35;3,39
86,24;42,79;8,48;46,04;3,38;7,34;4,4;5,73;8,53;9,66;5,91
82,29;42,66;9,91;36,59;3,87;9,9;4,02;6,05;1,34;6,53;3,93
41,82;42,14;8,14;55,3;3,72;5,73;4,29;5,31;6,83;8,27;5,19
93,04;40,04;8,02;60,98;3,41;7,68;4,12;5,12;1,68;1,91;2,86
98,7;37,72;5,9;49,15;1,89;5,91;4,01;5,52;3,1;1,18;3,02
27,81;40,85;8,34;44,68;2,93;7,9;4,33;6,47;1,05;6,09;3,87
98,49;36,33;7,78;61,98;3,8;9,51;4,31;4,53;2,7;8,83;4,4
77,99;38,91;7,24;44,81;1,65;5,45;4,28;5,88;4,46;1,18;3,41
74,92;44,38;8,03;51,74;3,88;7,81;4,38;5,63;7,59;4,15;4,61
31,2;40,82;4,43;70,08;2,86;4,6;4,04;4,55;5,71;4,13;3,92
60,01;37,14;6,92;45,42;0,66;7,29;4,26;5,13;7,03;9,16;5,4
88,06;35,54;7,25;62,91;2,7;4,23;4,11;4,97;8,45;1,0;3,93
43,78;40,16;5,24;41,9;1,19;9,54;4,15;6,23;2,78;4,73;3,91
46,15;44,6;8,36;53,01;2,84;3,31;4,3;7,05;7,67;6,74;5,36
91,28;35,67;3,91;47,4;4,12;3,56;4,33;5,98;4,0;4,25;3,91
55,01;40,26;5,27;55,83;3,32;3,63;4,06;7,7;5,72;1,11;3,93
46,09;39,49;9,75;49,78;3,77;5,29;4,44;7,33;5,24;7,02;5,0
49,29;36,8;5,26;46,07;2,65;7,03;4,04;5,2;3,81;1,98;3,29
68,97;36,23;7,47;37,82;2,15;3,43;4,47;4,79;4,93;6,1;4,2
50,6;44,41;7,32;58,88;2,4;8,4;4,0;5,51;5,94;8,71;5,14
46,99;41,96;8,69;53,15;2,72;9,3;4,17;6,53;8,49;8,85;5,93
30,41;37,11;7,59;51,19;1,82;10,0;4,1;6,01;3,91;4,59;4,06
44,78;44,68;6,42;59,37;2,9;8,8;4,23;4,94;2,62;4,85;3,64
92,11;44,81;7,31;28,51;2,9;7,58;4,25;6,24;8,43;6,51;5,38
67,22;43,24;5,11;43,48;3,28;5,66;4,18;4,43;6,04;3,03;3,79
37,01;43,75;6,3;37,25;2,19;6,87;4,48;5,36;8,03;9,72;5,72
25,5;40,65;7,92;43,85;2,73;7,49;4,18;7,63;2,43;1,01;3,34
36,77;42,22;7,1;46,04;2,01;9,46;4,41;6,44;9,4;6,27;5,59
42,03;36,08;7,65;41,66;3,21;7,52;4,23;5,19;5,95;7,6;4,88
25,0;43,33;7,56;45,16;4,58;8,85;4,12;4,68;8,77;2,94;4,42
49,39;37,93;6,71;53,85;3,06;6,21;4,34;8,03;8,9;2,68;5,04
49,65;41,06;8,65;38,86;2,91;3,61;4,24;5,78;9,16;8,77;5,8
